sample_no,Depth_m,collect_date,Temp_C_DOProbe,DO_mgpL,DO_Sat_Percent
1,0,2024-01-03 00:00:00 UTC,3.4,11.21,88
1,1,2024-01-03 00:00:00 UTC,3.9,10.93,86.9
1,2,2024-01-03 00:00:00 UTC,3.8,10.9,86.4
1,3,2024-01-03 00:00:00 UTC,3.8,10.85,86.1
1,4,2024-01-03 00:00:00 UTC,3.8,10.84,86
1,5,2024-01-03 00:00:00 UTC,3.8,10.82,85.9
1,6,2024-01-03 00:00:00 UTC,3.8,10.79,85.6
1,7,2024-01-03 00:00:00 UTC,3.8,10.83,85.9
1,8,2024-01-03 00:00:00 UTC,3.8,10.82,85.8
1,9,2024-01-03 00:00:00 UTC,3.8,10.76,85.3
1,10,2024-01-03 00:00:00 UTC,3.8,10.66,84.6
1,11,2024-01-03 00:00:00 UTC,3.8,10.61,84.3
1,12,2024-01-03 00:00:00 UTC,3.9,10.41,83.3
2,0,2024-01-10 00:00:00 UTC,5.2,10.03,84.8
2,1,2024-01-10 00:00:00 UTC,3.9,10.47,85.5
2,2,2024-01-10 00:00:00 UTC,3.7,10.52,85.4
2,3,2024-01-10 00:00:00 UTC,3.6,10.54,85.3
2,4,2024-01-10 00:00:00 UTC,3.4,10.53,85.2
2,5,2024-01-10 00:00:00 UTC,3.6,10.42,84.4
2,6,2024-01-10 00:00:00 UTC,3.7,10.31,83.7
2,7,2024-01-10 00:00:00 UTC,3.7,10.21,83
2,8,2024-01-10 00:00:00 UTC,3.8,10.17,82.7
2,9,2024-01-10 00:00:00 UTC,3.8,10.11,82.3
2,10,2024-01-10 00:00:00 UTC,3.8,10.06,81.9
2,11,2024-01-10 00:00:00 UTC,3.8,9.92,80.8
2,12,2024-01-10 00:00:00 UTC,3.7,9.97,80.9
3,0,2024-01-17 00:00:00 UTC,0.6,12.1,88.2
3,1,2024-01-17 00:00:00 UTC,1.7,11.84,89
3,2,2024-01-17 00:00:00 UTC,2,11.68,88.4
3,3,2024-01-17 00:00:00 UTC,2.2,11.55,88.1
3,4,2024-01-17 00:00:00 UTC,2.4,11.5,88
3,5,2024-01-17 00:00:00 UTC,2.6,11.39,87.6
3,6,2024-01-17 00:00:00 UTC,2.7,11.27,87.1
3,7,2024-01-17 00:00:00 UTC,3,11.09,86.2
3,8,2024-01-17 00:00:00 UTC,3.1,10.97,85.7
3,9,2024-01-17 00:00:00 UTC,3.3,10.83,84.9
3,10,2024-01-17 00:00:00 UTC,3.4,10.73,84.3
3,11,2024-01-17 00:00:00 UTC,3.4,10.61,83.4
3,12,2024-01-17 00:00:00 UTC,3.5,10.32,81.4
6,0,2024-01-23 00:00:00 UTC,1.2,12.3,89.5
6,1,2024-01-23 00:00:00 UTC,2.1,11.72,87.4
6,2,2024-01-23 00:00:00 UTC,2.4,11.27,84.7
6,3,2024-01-23 00:00:00 UTC,2.5,11.05,83.3
6,4,2024-01-23 00:00:00 UTC,2.7,10.89,82.6
6,5,2024-01-23 00:00:00 UTC,3,10.74,82
6,6,2024-01-23 00:00:00 UTC,3.1,10.66,81.7
6,7,2024-01-23 00:00:00 UTC,3.2,10.56,81.2
6,8,2024-01-23 00:00:00 UTC,3.3,10.47,80.7
6,9,2024-01-23 00:00:00 UTC,3.4,10.36,80
6,10,2024-01-23 00:00:00 UTC,3.4,10.26,79.3
6,11,2024-01-23 00:00:00 UTC,3.5,10.17,78.7
6,12,2024-01-23 00:00:00 UTC,3.5,9.91,76.8
7,0,2024-01-30 00:00:00 UTC,6.1,10.75,90
7,1,2024-01-30 00:00:00 UTC,3.3,12.13,94.5
7,2,2024-01-30 00:00:00 UTC,2.9,12.12,93.4
7,3,2024-01-30 00:00:00 UTC,2.9,11.43,88.1
7,4,2024-01-30 00:00:00 UTC,3,10.95,84.4
7,5,2024-01-30 00:00:00 UTC,3.1,10.73,83
7,6,2024-01-30 00:00:00 UTC,3.2,10.54,81.8
7,7,2024-01-30 00:00:00 UTC,3.3,10.4,81
7,8,2024-01-30 00:00:00 UTC,3.4,10.27,80.1
7,9,2024-01-30 00:00:00 UTC,3.4,10.13,79
7,10,2024-01-30 00:00:00 UTC,3.4,9.87,77
7,11,2024-01-30 00:00:00 UTC,3.5,9.81,76.7
7,12,2024-01-30 00:00:00 UTC,3.4,10.09,78.7
8,0,2024-02-06 00:00:00 UTC,2.3,12.88,97.7
8,1,2024-02-06 00:00:00 UTC,3.2,12.29,95.5
8,2,2024-02-06 00:00:00 UTC,3.3,12.23,95.1
8,3,2024-02-06 00:00:00 UTC,3.2,12.27,95.3
8,4,2024-02-06 00:00:00 UTC,3.3,11.5,89.4
8,5,2024-02-06 00:00:00 UTC,3.3,10.7,83.4
8,6,2024-02-06 00:00:00 UTC,3.4,10.92,81.3
8,7,2024-02-06 00:00:00 UTC,3.5,10.22,79.8
8,8,2024-02-06 00:00:00 UTC,3.5,10.02,78.3
8,9,2024-02-06 00:00:00 UTC,3.5,9.9,77.4
8,10,2024-02-06 00:00:00 UTC,3.5,9.77,76.5
8,11,2024-02-06 00:00:00 UTC,3.5,9.67,75.6
8,12,2024-02-06 00:00:00 UTC,3.5,9.84,77
9,0,2024-02-13 00:00:00 UTC,1.4,10.47,79
9,1,2024-02-13 00:00:00 UTC,3.8,11.35,91.5
9,2,2024-02-13 00:00:00 UTC,3.8,11.45,92.2
9,3,2024-02-13 00:00:00 UTC,3.8,11.46,92.2
9,4,2024-02-13 00:00:00 UTC,3.8,11.44,91.9
9,5,2024-02-13 00:00:00 UTC,3.7,11.37,91.3
9,6,2024-02-13 00:00:00 UTC,3.7,11.33,90.9
9,7,2024-02-13 00:00:00 UTC,3.7,11.09,89
9,8,2024-02-13 00:00:00 UTC,3.7,10.56,84.6
9,9,2024-02-13 00:00:00 UTC,3.6,10.24,82
9,10,2024-02-13 00:00:00 UTC,3.6,10.36,83
9,11,2024-02-13 00:00:00 UTC,3.6,10.37,83
9,12,2024-02-13 00:00:00 UTC,3.7,10.11,81
10,0,2024-02-20 00:00:00 UTC,2.6,12.66,98.8
10,1,2024-02-20 00:00:00 UTC,4.1,11.61,91.3
10,2,2024-02-20 00:00:00 UTC,4.1,11.45,90
10,3,2024-02-20 00:00:00 UTC,4,11.41,89.6
10,4,2024-02-20 00:00:00 UTC,4,11.41,89.4
10,5,2024-02-20 00:00:00 UTC,3.9,11.39,89.3
10,6,2024-02-20 00:00:00 UTC,3.9,11.38,89.1
10,7,2024-02-20 00:00:00 UTC,3.9,11.37,89
10,8,2024-02-20 00:00:00 UTC,3.9,11.35,88.9
10,9,2024-02-20 00:00:00 UTC,3.9,11.34,88.7
10,10,2024-02-20 00:00:00 UTC,3.9,11.02,86.2
10,11,2024-02-20 00:00:00 UTC,3.8,10.02,78.2
10,12,2024-02-20 00:00:00 UTC,3.9,9.52,74.4
11,0,2024-02-27 00:00:00 UTC,5.6,11.8,98.3
11,1,2024-02-27 00:00:00 UTC,4.88,12.57,102.7
11,2,2024-02-27 00:00:00 UTC,4.7,12.68,103.2
11,3,2024-02-27 00:00:00 UTC,4.5,12.25,99.2
11,4,2024-02-27 00:00:00 UTC,4.3,11.89,95.9
11,5,2024-02-27 00:00:00 UTC,4.2,11.9,95.7
11,6,2024-02-27 00:00:00 UTC,4.2,11.88,95.5
11,7,2024-02-27 00:00:00 UTC,4.1,11.88,95.3
11,8,2024-02-27 00:00:00 UTC,4.1,11.89,95.3
11,9,2024-02-27 00:00:00 UTC,4.1,11.89,95.3
11,10,2024-02-27 00:00:00 UTC,4.1,11.89,95.3
11,11,2024-02-27 00:00:00 UTC,4,10.3,82.3
11,12,2024-02-27 00:00:00 UTC,4,9.78,78.1
12,0,2024-03-05 00:00:00 UTC,7,10.48,89.8
12,1,2024-03-05 00:00:00 UTC,5.7,10.96,90.9
12,2,2024-03-05 00:00:00 UTC,5.1,11.12,91
12,3,2024-03-05 00:00:00 UTC,4.9,11.22,91.1
12,4,2024-03-05 00:00:00 UTC,4.7,11.25,91
12,5,2024-03-05 00:00:00 UTC,4.6,11.24,90.8
12,6,2024-03-05 00:00:00 UTC,4.5,11.29,90.8
12,7,2024-03-05 00:00:00 UTC,4.5,11.27,90.6
12,8,2024-03-05 00:00:00 UTC,4.4,11.27,90.3
12,9,2024-03-05 00:00:00 UTC,4.4,11.26,90.2
12,10,2024-03-05 00:00:00 UTC,4.3,11.26,90.1
12,10.5,2024-03-05 00:00:00 UTC,,,
12,11,2024-03-05 00:00:00 UTC,4.3,11.24,90
12,12,2024-03-05 00:00:00 UTC,4.3,11.16,89.3
13,0,2024-03-12 00:00:00 UTC,6.5,11.6,96.5
13,1,2024-03-12 00:00:00 UTC,7.2,11.03,96.2
13,2,2024-03-12 00:00:00 UTC,5.9,11.5,97
13,3,2024-03-12 00:00:00 UTC,5.7,11.55,96.9
13,4,2024-03-12 00:00:00 UTC,5.4,11.6,96.6
13,5,2024-03-12 00:00:00 UTC,5,11.62,95.8
13,6,2024-03-12 00:00:00 UTC,4.8,11.63,95.3
13,7,2024-03-12 00:00:00 UTC,4.7,11.65,95.2
13,8,2024-03-12 00:00:00 UTC,4.6,11.65,95
13,9,2024-03-12 00:00:00 UTC,4.5,11.66,95
13,10,2024-03-12 00:00:00 UTC,4.5,11.65,94.8
13,10.5,2024-03-12 00:00:00 UTC,,,
13,11,2024-03-12 00:00:00 UTC,4.5,11.63,94.5
13,12,2024-03-12 00:00:00 UTC,4.4,11.6,94.2
14,0,2024-03-19 00:00:00 UTC,6.9,12.05,104.5
14,1,2024-03-19 00:00:00 UTC,6.6,12.2,105
14,2,2024-03-19 00:00:00 UTC,6.4,12.23,104.8
14,3,2024-03-19 00:00:00 UTC,6.3,12.27,104.8
14,4,2024-03-19 00:00:00 UTC,6.2,12.25,104.4
14,5,2024-03-19 00:00:00 UTC,6.1,12.3,104.6
14,6,2024-03-19 00:00:00 UTC,6,12.34,104.6
14,7,2024-03-19 00:00:00 UTC,5.9,12.34,104.5
14,8,2024-03-19 00:00:00 UTC,5.3,11.82,98.4
14,9,2024-03-19 00:00:00 UTC,5,11.38,94.1
14,10,2024-03-19 00:00:00 UTC,4.8,11.31,93
14,10.5,2024-03-19 00:00:00 UTC,,,
14,11,2024-03-19 00:00:00 UTC,4.7,11.24,92.3
14,12,2024-03-19 00:00:00 UTC,4.7,11.03,90.3
16,0,2024-03-26 00:00:00 UTC,7.2,11.4,98.1
16,1,2024-03-26 00:00:00 UTC,5.7,11.91,98.7
16,2,2024-03-26 00:00:00 UTC,5.5,11.91,98.2
16,3,2024-03-26 00:00:00 UTC,5.2,12,98.1
16,4,2024-03-26 00:00:00 UTC,5,12.01,97.9
16,5,2024-03-26 00:00:00 UTC,4.9,12,97.3
16,6,2024-03-26 00:00:00 UTC,4.8,11.97,96.8
16,7,2024-03-26 00:00:00 UTC,4.7,11.94,96.4
16,8,2024-03-26 00:00:00 UTC,4.7,11.93,96.3
16,9,2024-03-26 00:00:00 UTC,4.6,11.95,96.3
16,10,2024-03-26 00:00:00 UTC,4.6,11.9,95.8
16,11,2024-03-26 00:00:00 UTC,4.6,11.84,95.3
16,12,2024-03-26 00:00:00 UTC,4.5,11.83,95
17,0,2024-04-02 00:00:00 UTC,6.5,12.03,102.6
17,1,2024-04-02 00:00:00 UTC,7.2,11.65,101.1
17,2,2024-04-02 00:00:00 UTC,6.2,12.16,102.9
17,3,2024-04-02 00:00:00 UTC,6,12.16,102.4
17,4,2024-04-02 00:00:00 UTC,5.7,12.09,101.2
17,5,2024-04-02 00:00:00 UTC,5.6,12.12,100.9
17,6,2024-04-02 00:00:00 UTC,5.5,12.09,100.4
17,7,2024-04-02 00:00:00 UTC,5.3,12.1,100.1
17,8,2024-04-02 00:00:00 UTC,5.2,11.9,98.1
17,9,2024-04-02 00:00:00 UTC,5.1,11.84,97.3
17,10,2024-04-02 00:00:00 UTC,5.1,11.76,96.5
17,10.5,2024-04-02 00:00:00 UTC,,,
17,11,2024-04-02 00:00:00 UTC,5,11.58,94.9
17,12,2024-04-02 00:00:00 UTC,4.9,11.36,93
18,0,2024-04-09 00:00:00 UTC,10.1,11.61,107.8
18,1,2024-04-09 00:00:00 UTC,7.9,11.76,103.6
18,2,2024-04-09 00:00:00 UTC,7.1,12.11,104.4
18,3,2024-04-09 00:00:00 UTC,6.4,12.28,104.1
18,4,2024-04-09 00:00:00 UTC,6,12.4,104.1
18,5,2024-04-09 00:00:00 UTC,5.7,12.41,103.4
18,6,2024-04-09 00:00:00 UTC,5.6,12.37,102.8
18,7,2024-04-09 00:00:00 UTC,5.6,12.3,102.1
18,8,2024-04-09 00:00:00 UTC,5.5,12.18,100.9
18,9,2024-04-09 00:00:00 UTC,5.4,12.11,100
18,10,2024-04-09 00:00:00 UTC,5.4,12.06,99.5
18,11,2024-04-09 00:00:00 UTC,5.3,12.03,99.2
18,12,2024-04-09 00:00:00 UTC,5.3,11.85,97.6
19,0,2024-04-16 00:00:00 UTC,11.02,11.02,104.6
19,1,2024-04-16 00:00:00 UTC,10.4,11.18,104.1
19,2,2024-04-16 00:00:00 UTC,9.6,11.25,102.8
19,3,2024-04-16 00:00:00 UTC,8.7,11.54,103.1
19,4,2024-04-16 00:00:00 UTC,8,11.75,103.3
19,5,2024-04-16 00:00:00 UTC,7.6,11.56,100.7
19,6,2024-04-16 00:00:00 UTC,7.3,11.37,98.2
19,7,2024-04-16 00:00:00 UTC,6.7,11.21,95.4
19,8,2024-04-16 00:00:00 UTC,6.3,11.15,94
19,9,2024-04-16 00:00:00 UTC,5.8,10.91,90.7
19,10,2024-04-16 00:00:00 UTC,5.6,10.73,88.8
19,11,2024-04-16 00:00:00 UTC,5.5,10.66,88
19,12,2024-04-16 00:00:00 UTC,5.4,10.44,86
20,0,2024-04-23 00:00:00 UTC,11.7,10.81,104.1
20,1,2024-04-23 00:00:00 UTC,11.3,10.93,104.2
20,2,2024-04-23 00:00:00 UTC,11,11.01,104.2
20,3,2024-04-23 00:00:00 UTC,10.8,11.05,104.2
20,4,2024-04-23 00:00:00 UTC,10.6,11.05,103.8
20,5,2024-04-23 00:00:00 UTC,8.1,11.86,104.8
20,6,2024-04-23 00:00:00 UTC,7.2,12.04,104.2
20,7,2024-04-23 00:00:00 UTC,6.5,11.02,93.7
20,8,2024-04-23 00:00:00 UTC,6,10.66,89.5
20,9,2024-04-23 00:00:00 UTC,5.7,10.43,87
20,10,2024-04-23 00:00:00 UTC,5.5,10.18,84.5
20,11,2024-04-23 00:00:00 UTC,5.4,10.09,83.4
20,12,2024-04-23 00:00:00 UTC,5.3,9.66,79.7
21,0,2024-04-30 00:00:00 UTC,15,10.13,105.4
21,1,2024-04-30 00:00:00 UTC,14.7,10.22,105.6
21,2,2024-04-30 00:00:00 UTC,14.4,10.21,104.9
21,3,2024-04-30 00:00:00 UTC,12.1,10.6,103.2
21,4,2024-04-30 00:00:00 UTC,11.5,10.62,102.1
21,5,2024-04-30 00:00:00 UTC,9.5,11.39,104.5
21,6,2024-04-30 00:00:00 UTC,8.3,11.79,105.2
21,7,2024-04-30 00:00:00 UTC,7.2,11.75,102.1
21,8,2024-04-30 00:00:00 UTC,6.4,10.92,92.9
21,9,2024-04-30 00:00:00 UTC,6,9.85,82.8
21,10,2024-04-30 00:00:00 UTC,5.7,9.64,80.5
21,11,2024-04-30 00:00:00 UTC,5.5,9.36,77.8
21,12,2024-04-30 00:00:00 UTC,5.5,8.74,72.6
22,0,2024-05-07 00:00:00 UTC,16.4,9.61,103.3
22,1,2024-05-07 00:00:00 UTC,15.5,9.9,104.4
22,2,2024-05-07 00:00:00 UTC,15.1,10.1,105.6
22,3,2024-05-07 00:00:00 UTC,14,10.82,110.4
22,4,2024-05-07 00:00:00 UTC,12.5,11.03,108.9
22,5,2024-05-07 00:00:00 UTC,11.1,11.11,106.2
22,6,2024-05-07 00:00:00 UTC,9.4,11.48,105.4
22,7,2024-05-07 00:00:00 UTC,8.1,11.88,105.8
22,8,2024-05-07 00:00:00 UTC,7.1,12.02,104.5
22,9,2024-05-07 00:00:00 UTC,6.4,10.34,88.1
22,10,2024-05-07 00:00:00 UTC,6,9.12,77
22,11,2024-05-07 00:00:00 UTC,5.7,8.86,74.2
22,12,2024-05-07 00:00:00 UTC,5.6,8.45,70.6
23,0,2024-05-16 00:00:00 UTC,16.2,9.8,104.9
23,1,2024-05-16 00:00:00 UTC,15.9,9.93,105.7
23,2,2024-05-16 00:00:00 UTC,15.7,10.14,107.4
23,3,2024-05-16 00:00:00 UTC,15.3,10.18,107
23,4,2024-05-16 00:00:00 UTC,13.5,11.19,113.1
23,5,2024-05-16 00:00:00 UTC,11.8,11.52,111.9
23,6,2024-05-16 00:00:00 UTC,10,11.74,109.5
23,7,2024-05-16 00:00:00 UTC,8.1,11.79,104.8
23,8,2024-05-16 00:00:00 UTC,7.2,11.45,99.6
23,9,2024-05-16 00:00:00 UTC,6.3,8.66,73.8
23,10,2024-05-16 00:00:00 UTC,5.9,8.28,69.9
23,11,2024-05-16 00:00:00 UTC,5.7,8.01,67.2
23,12,2024-05-16 00:00:00 UTC,5.6,6.9,57.7
24,0,2024-05-23 00:00:00 UTC,23.5,8.43,104.2
24,1,2024-05-23 00:00:00 UTC,22.3,8.42,101.8
24,2,2024-05-23 00:00:00 UTC,21,9.31,109.7
24,3,2024-05-23 00:00:00 UTC,18.3,9.73,108.5
24,4,2024-05-23 00:00:00 UTC,15.1,11.01,114.8
24,5,2024-05-23 00:00:00 UTC,12.2,11.43,111.9
24,6,2024-05-23 00:00:00 UTC,10,11.78,109.6
24,7,2024-05-23 00:00:00 UTC,8.2,12.12,107.8
24,8,2024-05-23 00:00:00 UTC,7.1,12.12,104.9
24,9,2024-05-23 00:00:00 UTC,6.2,10.96,92.8
24,10,2024-05-23 00:00:00 UTC,5.7,8.5,71.2
24,11,2024-05-23 00:00:00 UTC,,,
25,0,2024-05-30 00:00:00 UTC,21.4,8.63,102.2
25,1,2024-05-30 00:00:00 UTC,21.1,8.6,101.3
25,2,2024-05-30 00:00:00 UTC,20.8,8.58,100.4
25,3,2024-05-30 00:00:00 UTC,20.6,8.55,99.8
25,4,2024-05-30 00:00:00 UTC,16,10.92,115.9
25,5,2024-05-30 00:00:00 UTC,13.7,11.29,113.9
25,6,2024-05-30 00:00:00 UTC,10.8,11.69,110.4
25,7,2024-05-30 00:00:00 UTC,9.1,11.83,107.4
25,8,2024-05-30 00:00:00 UTC,7.8,11.74,103.2
25,9,2024-05-30 00:00:00 UTC,6.8,9.54,81.8
25,10,2024-05-30 00:00:00 UTC,6.2,7.32,61.9
25,11,2024-05-30 00:00:00 UTC,5.8,6.87,57.6
25,12,2024-05-30 00:00:00 UTC,5.7,5.7,47.5
26,0,2024-06-05 00:00:00 UTC,23.4,8.25,101.6
26,1,2024-06-05 00:00:00 UTC,23.8,8.34,101.8
26,2,2024-06-05 00:00:00 UTC,22.7,8.42,102.3
26,3,2024-06-05 00:00:00 UTC,21.6,8.34,99.8
26,4,2024-06-05 00:00:00 UTC,17.3,10.74,117.6
26,5,2024-06-05 00:00:00 UTC,13.4,11.48,116.5
26,6,2024-06-05 00:00:00 UTC,10.4,11.84,112.6
26,7,2024-06-05 00:00:00 UTC,9,11.93,108
26,8,2024-06-05 00:00:00 UTC,7.6,11.96,104.8
26,9,2024-06-05 00:00:00 UTC,6.7,10.28,88.1
26,10,2024-06-05 00:00:00 UTC,6.1,7.15,60.3
26,11,2024-06-05 00:00:00 UTC,5.8,6.74,56.4
26,12,2024-06-05 00:00:00 UTC,5.6,4.51,37.6
27,0,2024-06-12 00:00:00 UTC,20.5,8.47,98.2
27,1,2024-06-12 00:00:00 UTC,20.2,8.42,97.2
27,2,2024-06-12 00:00:00 UTC,20,8.39,96.3
27,3,2024-06-12 00:00:00 UTC,19.9,8.33,95.4
27,4,2024-06-12 00:00:00 UTC,18.5,9.92,110.5
27,5,2024-06-12 00:00:00 UTC,14.2,11.43,116.3
27,6,2024-06-12 00:00:00 UTC,12.2,11.77,114.4
27,7,2024-06-12 00:00:00 UTC,9.9,11.66,107.5
27,8,2024-06-12 00:00:00 UTC,7.9,11.5,101.2
27,9,2024-06-12 00:00:00 UTC,6.9,8.79,75.3
27,10,2024-06-12 00:00:00 UTC,6.1,6.25,52.5
27,11,2024-06-12 00:00:00 UTC,5.9,5.32,44.5
27,12,2024-06-12 00:00:00 UTC,5.7,4.12,34.3
28,0,2024-06-18 00:00:00 UTC,24.2,8.34,103.2
28,1,2024-06-18 00:00:00 UTC,23.8,8.4,103.1
28,2,2024-06-18 00:00:00 UTC,22.9,8.22,99.2
28,3,2024-06-18 00:00:00 UTC,21.9,8.44,100
28,4,2024-06-18 00:00:00 UTC,19.7,9.74,110.4
28,5,2024-06-18 00:00:00 UTC,15.9,11.04,115.6
28,6,2024-06-18 00:00:00 UTC,11.9,11.49,110.3
28,7,2024-06-18 00:00:00 UTC,9.5,11.71,106.1
28,8,2024-06-18 00:00:00 UTC,8.3,11.55,101.7
28,9,2024-06-18 00:00:00 UTC,7.4,10.66,91.9
28,10,2024-06-18 00:00:00 UTC,7.4,6.46,54.7
28,11,2024-06-18 00:00:00 UTC,6.2,5.42,45.3
28,12,2024-06-18 00:00:00 UTC,5.9,2.67,22.2
29,0,2024-06-25 00:00:00 UTC,25.6,8.15,104.7
29,1,2024-06-25 00:00:00 UTC,25.2,8.18,104.5
29,2,2024-06-25 00:00:00 UTC,24.2,8.2,102.8
29,3,2024-06-25 00:00:00 UTC,23.8,8.26,102.8
29,4,2024-06-25 00:00:00 UTC,19.9,10.59,122.1
29,5,2024-06-25 00:00:00 UTC,17.2,11.28,123.1
29,6,2024-06-25 00:00:00 UTC,13.7,11.81,119.5
29,7,2024-06-25 00:00:00 UTC,10.3,11.82,110.8
