lakeID,date_yyyy-mm-dd,time_hhmmss,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll _RFU,phycocyaninBGA_RFU-14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,2024-07-03,0:14:59,0,23.649,9.11,107.6,0.25,-0.35,NA,7.79,NA,91.1,0.04,59,NA,41.76786,-74.15557,382.1,734.7
MHK,2024-07-03,0:15:40,0.25,23.68,9.02,106.6,0.24,-0.36,NA,7.79,NA,91,0.04,59,NA,41.76787,-74.15557,381.3,734.7
MHK,2024-07-03,0:15:50,0.5,23.69,9,106.3,0.28,-0.34,NA,7.79,NA,91,0.04,59,NA,41.76794,-74.15562,378.4,734.6
MHK,2024-07-03,0:16:30,0.75,23.711,9,106.3,0.27,-0.36,NA,7.8,NA,91.2,0.04,59,NA,41.7679,-74.15556,379.8,734.5
MHK,2024-07-03,0:16:58,1,23.709,8.99,106.2,0.28,-0.37,NA,7.8,NA,91.2,0.04,59,NA,41.76791,-74.15554,381.2,734.6
MHK,2024-07-03,0:17:32,1.25,23.703,9,106.3,0.3,-0.34,NA,7.8,NA,91.2,0.04,59,NA,41.76789,-74.15555,382.1,734.6
MHK,2024-07-03,0:18:26,1.5,23.638,9.03,106.6,0.27,-0.39,NA,7.84,NA,91.2,0.04,59,NA,41.76789,-74.15552,386.2,734.6
MHK,2024-07-03,0:18:54,1.75,23.601,9.02,106.4,0.28,-0.38,NA,7.84,NA,91.1,0.04,59,NA,41.7679,-74.15551,385.5,734.6
MHK,2024-07-03,0:19:22,2,23.582,9.02,106.3,0.33,-0.34,NA,7.84,NA,91.2,0.04,59,NA,41.76793,-74.15551,379.8,734.6
MHK,2024-07-03,0:19:57,2.25,23.558,9.02,106.3,0.37,-0.37,NA,7.84,NA,91.2,0.04,59,NA,41.76788,-74.15555,383.3,734.6
MHK,2024-07-03,0:20:23,2.5,23.552,9.02,106.2,0.31,-0.36,NA,7.84,NA,91.2,0.04,59,NA,41.76786,-74.15556,382.4,734.6
MHK,2024-07-03,0:20:54,2.75,23.277,9.03,105.8,0.35,-0.32,NA,7.85,NA,91.4,0.04,59,NA,41.76791,-74.15558,379.3,734.5
MHK,2024-07-03,0:21:19,3,22.919,9.03,105.2,0.43,-0.3,NA,7.86,NA,91.2,0.04,59,NA,41.76792,-74.15556,378.7,734.6
MHK,2024-07-03,0:21:43,3.25,22.68,9.06,104.9,0.44,-0.31,NA,7.86,NA,91.1,0.04,59,NA,41.76791,-74.15557,376.3,734.6
MHK,2024-07-03,0:22:20,3.5,22.543,9.01,104.2,0.55,-0.24,NA,7.83,NA,91.1,0.04,59,NA,41.76789,-74.15557,378.9,734.6
MHK,2024-07-03,0:22:47,3.75,22.432,9,103.8,0.49,-0.25,NA,7.8,NA,91,0.04,59,NA,41.76789,-74.15558,376.1,734.5
MHK,2024-07-03,0:23:10,4,21.885,9.19,104.9,0.52,-0.23,NA,7.75,NA,91.2,0.04,59,NA,41.76787,-74.15557,377.5,734.6
MHK,2024-07-03,0:23:36,4.25,19.492,10.29,114.5,0.57,-0.2,NA,7.66,NA,92.9,0.04,60,NA,41.76797,-74.15555,366.9,734.5
MHK,2024-07-03,0:24:03,4.5,17.707,11.7,122.9,0.53,-0.19,NA,7.65,NA,93.3,0.04,61,NA,41.76792,-74.1556,371.4,734.6
MHK,2024-07-03,0:24:34,4.75,17.122,12.36,128.3,0.57,-0.12,NA,7.66,NA,91.2,0.04,59,NA,41.7679,-74.15557,374.3,734.6
MHK,2024-07-03,0:24:58,5,16.545,12.56,128.8,0.48,-0.15,NA,7.71,NA,91,0.04,59,NA,41.76793,-74.15556,374.2,734.5
MHK,2024-07-03,0:25:19,5.25,15.685,12.62,127,1.14,0.08,NA,7.69,NA,91.4,0.04,59,NA,41.7679,-74.15557,372.5,734.5
MHK,2024-07-03,0:25:51,5.5,15.033,12.51,124.2,0.62,-0.05,NA,7.61,NA,91.5,0.04,59,NA,41.76791,-74.15558,369.8,734.5
MHK,2024-07-03,0:26:19,5.75,14.297,12.68,123.8,0.4,-0.06,NA,7.55,NA,91.5,0.04,59,NA,41.76789,-74.15558,374,734.5
MHK,2024-07-03,0:26:45,6,13.831,12.65,122.3,0.4,-0.03,NA,7.53,NA,91.4,0.04,59,NA,41.76791,-74.15557,372.6,734.5
MHK,2024-07-03,0:27:25,6.25,11.909,12.9,119.6,0.41,0.04,NA,7.49,NA,91.1,0.04,59,NA,41.76791,-74.1556,371.5,734.5
MHK,2024-07-03,0:28:20,6.5,10.86,13.02,117.7,0.41,0.05,NA,7.49,NA,90.9,0.04,59,NA,41.76796,-74.1556,364.5,734.5
MHK,2024-07-03,0:28:55,6.75,10.193,13.15,117,0.69,0.21,NA,7.49,NA,90.7,0.04,59,NA,41.76791,-74.15559,371.3,734.5
MHK,2024-07-03,0:29:15,7,9.831,13.09,115.6,0.48,0.16,NA,7.48,NA,90.6,0.04,59,NA,41.76789,-74.15557,376.5,734.5
MHK,2024-07-03,0:29:38,7.25,9.065,12.91,111.9,0.56,0.18,NA,7.45,NA,91.1,0.04,59,NA,41.76786,-74.15559,374.8,734.5
MHK,2024-07-03,0:30:04,7.5,8.387,12.71,108.4,0.43,0.15,NA,7.4,NA,91.2,0.04,59,NA,41.76788,-74.15558,374.4,734.5
MHK,2024-07-03,0:30:46,7.75,8.02,12.22,103.3,0.41,0.16,NA,7.3,NA,91,0.04,59,NA,41.7679,-74.15556,375.3,734.6
MHK,2024-07-03,0:31:23,8,7.653,11.98,100.3,0.53,0.22,NA,7.23,NA,91.2,0.04,59,NA,41.76791,-74.15558,374.1,734.7
MHK,2024-07-03,0:31:54,8.25,7.462,11.68,97.4,0.47,0.26,NA,7.18,NA,91,0.04,59,NA,41.7679,-74.15556,376.5,734.7
MHK,2024-07-03,0:32:18,8.5,7.154,11.29,93.4,0.46,0.25,NA,7.12,NA,91.3,0.04,59,NA,41.7679,-74.15555,375.7,734.6
MHK,2024-07-03,0:32:57,8.75,6.888,10.66,87.6,0.36,0.24,NA,7.02,NA,91.5,0.04,59,NA,41.76791,-74.15555,372.7,734.6
MHK,2024-07-03,0:33:23,9,6.736,10.1,82.7,0.37,0.28,NA,6.95,NA,91.7,0.04,60,NA,41.76791,-74.15556,371.8,734.6
MHK,2024-07-03,0:33:57,9.25,6.601,8.97,73.2,0.41,0.28,NA,6.85,NA,92.2,0.04,60,NA,41.76793,-74.15557,376.3,734.6
MHK,2024-07-03,0:34:38,9.5,6.503,7.68,62.5,0.3,0.26,NA,6.73,NA,92.4,0.04,60,NA,41.76791,-74.15557,375.4,734.6
MHK,2024-07-03,0:35:08,9.75,6.289,7.16,57.9,0.32,0.27,NA,6.67,NA,93.1,0.04,60,NA,41.76791,-74.15558,373.3,734.5
MHK,2024-07-03,0:35:37,10,6.237,6.36,51.4,0.22,0.25,NA,6.61,NA,93.1,0.04,60,NA,41.76788,-74.15554,376.7,734.7
MHK,2024-07-03,0:36:21,10.25,6.08,5.59,45,0.17,0.25,NA,6.56,NA,93.3,0.04,61,NA,41.7679,-74.15557,380.4,734.5
MHK,2024-07-03,0:37:01,10.5,5.946,5.08,40.8,0.13,0.25,NA,6.52,NA,93.3,0.04,61,NA,41.76791,-74.15555,379.1,734.7
MHK,2024-07-03,0:37:39,10.75,5.848,4.4,35.2,0.15,0.22,NA,6.49,NA,93.4,0.04,61,NA,41.76793,-74.15553,379.4,734.5
MHK,2024-07-03,0:38:15,11,5.826,4.06,32.5,0.12,0.19,NA,6.47,NA,93.5,0.04,61,NA,41.7679,-74.15557,380,734.5
MHK,2024-07-03,0:38:51,11.25,5.774,3.63,29,0.09,0.2,NA,6.44,NA,93.8,0.04,61,NA,41.76791,-74.15557,381.7,734.6
MHK,2024-07-03,0:39:20,11.5,5.757,3.13,25,0.08,0.24,NA,6.43,NA,94.3,0.04,61,NA,41.7679,-74.15556,380.3,734.6
MHK,2024-07-03,0:39:46,11.75,5.762,2.71,21.7,0.06,0.22,NA,6.41,NA,95,0.04,62,NA,41.76788,-74.15557,386,734.7
MHK,2024-07-03,0:40:21,12,5.72,1.74,13.9,0.08,0.25,NA,6.39,NA,96.2,0.04,63,NA,41.76786,-74.15557,389.8,734.6
